0.041,0.027,0.04909175083453431
0.039458839313897716,0.083,0.08631338250816034
0.073,0.10253292154230269
0.04632493928760188,0.1160775602776006,0.118
0.061,0.041,0.07349829930005185
0.097,0.10508092119885512,0.12175795661885921
0.021,0.063,0.06640783086353597
0.094,0.030083217912982647,0.09075791976461338
0.025455844122715707,0.020124611797498106,0.027
0.041,0.027,0.04909175083453431
0.15,0.11454693361238441,0.08438601779915912
0.036,0.04024922359499621,0.018
0.07306161783043132,0.06103277807866851
0.01979898987322333,0.0191049731745428,0.027
0.029966648127543394,0.027,0.0304138126514911
0.045,0.03605551275463989
0.03354101966249684,0.021213203435596423,0.045
0.027,0.020124611797498106,0.025455844122715707
0.103,0.1039471019317037
0.036,0.06363961030678927,0.04589117562233506
0.018,0.036,0.04024922359499621
0.04666904755831214,0.054,0.03911521443121589
0.022,0.023,0.0318276609256791
0.034,0.04517742799230607,0.042059481689626185
0.018,0.018,0.025455844122715707
0.03,0.04024922359499621
0.036,0.04024922359499621,0.018
0.018,0.018,0.025455844122715707
0.01979898987322333
0.027,0.025455844122715707,0.020124611797498106
0.025455844122715707,0.025455844122715707,0.036
0.0191049731745428,0.01979898987322333,0.027
0.074,0.03289376840679705,0.07021395872616784
0.026832815729997475,0.036,0.033941125496954286
0.018,0.018
0.08884255736976508,0.06579513659838393
0.08884255736976508,0.092,0.04031128874149276
0.036,0.012727922061357854,0.009,0.045
0.025455844122715707,0.050911688245431415,0.018,0.04024922359499621
0.026076809620810597,0.028284271247461898,0.036,0.04808326112068523
0.063,0.038,0.07357309290766564
0.031112698372208085,0.07,0.04850773134253961,0.01004987562112089
0.153,0.051,0.16127616066858735
0.05,0.069,0.025455844122715707,0.018027756377319945
0.009,0.082,0.3231485726411305,0.2788870739206104
0.04024922359499621,0.036,0.05154609587543949,0.03488552708502482
0.11629703349613008,0.101,0.013038404810405298,0.03794733192202055
0.027,0.010816653826391968,0.03,0.012727922061357854
0.036,0.045,0.009,0.012727922061357854
0.009,0.076,0.078,0.009219544457292887
0.04525483399593905,0.01,0.033941125496954286,0.05
0.22,0.009,0.238,0.020124611797498106
0.22,0.212,0.012727922061357854,0.019235384061671346
0.032,0.034,0.03577708763999664,0.05
0.045,0.06276941930590085
0.045,0.012727922061357854,0.029,0.01140175425099138
0.046,0.012727922061357854,0.057,0.009219544457292887
0.073,0.033941125496954286,0.04560701700396552,0.013
0.018,0.04455333881989093,0.009,0.04237924020083418
0.013,0.009,0.013,0.009
0.018867962264113206,0.027,0.033,0.025495097567963924
0.032015621187164243,0.05724508712544685,0.030870698080866264,0.012041594578792296
0.032015621187164243,0.03130495168499706,0.02,0.00806225774829855
0.018,0.03,0.012727922061357854,0.009486832980505138
0.021,0.018973665961010275,0.027459060435491962
0.049,0.08005623023850174,0.041880783182743846
0.055,0.072,0.021931712199461308,0.09666436778875657
0.03818376618407356,0.059,0.032,0.027
0.01044030650891055,0.0378021163428716,0.05,0.03605551275463989
0.009,0.0191049731745428,0.018,0.00565685424949238
0.03157530680769389,0.033,0.03818376618407356,0.004
0.073,0.074,0.018384776310850233,0.01769180601295413
0.036,0.024041630560342614,0.021,0.0191049731745428
0.022360679774997897,0.03354101966249684,0.03801315561749643,0.054
0.00894427190999916,0.043,0.06576473218982953,0.054
0.012727922061357854,0.009,0.009,0.018
0.043,0.009848857801796104,0.056,0.012727922061357854
0.04101219330881976,0.07244998274671982,0.036,0.003
0.04101219330881976,0.04666904755831214,0.018,0.014560219778561036
0.04606517122512408,0.015524174696260025,0.057,0.03794733192202055
0.032756678708318394,0.04455333881989093,0.036,0.074
0.006,0.045,0.0564003546088143,0.04
0.027,0.047,0.05269724850502159,0.024758836806279896
0.089,0.098,0.009219544457292887,0.01140175425099138
0.027,0.04,0.04825971404805462
0.04,0.046,0.018788294228055936,0.0685054742338158
0.109,0.0564003546088143,0.0031622776601683794,0.08508818954473059
0.05656854249492381,0.09,0.0031622776601683794,0.0658027355054484
0.057,0.03264965543462902,0.0161245154965971,0.046400431032480725
0.027,0.027,0.018,0.018
0.018,0.00565685424949238,0.020124611797498106,0.0191049731745428
0.027,0.093,0.021095023109728987,0.05787054518492115
0.018,0.025455844122715707,0.018
0.033,0.018384776310850233,0.08343860018001259,0.09481033698917013
0.043,0.04909175083453431,0.094,0.028792360097775936
0.031112698372208085,0.009,0.022,0.031
0.15697770542341355,0.06545991139621257,0.2170829334609241,0.013416407864998738
0.018,0.0070710678118654745,0.012727922061357854,0.01979898987322333
0.098,0.133,0.03807886552931954,0.009219544457292887
0.079,0.05048762224545735,0.18872466717416672,0.1710818517552344
0.098,0.0031622776601683794,0.11479111463872106,0.03956008088970497
0.079,0.022360679774997897,0.1211156472137271
0.048,0.026832815729997475,0.009486832980505138,0.029698484809834995
0.018,0.027,0.012727922061357854,0.009
0.09928242543370906,0.08633075929238664,0.05772347875864725,0.14300349646075092
0.03,0.027,0.012727922061357854,0.010816653826391968
0.01565247584249853,0.035355339059327376,0.049,0.03289376840679705
0.088,0.05060632371551998,0.038,0.03257299494980466
0.027,0.018439088914585774,0.05053711507397311,0.027
0.027,0.028,0.03889730067755345
0.03036445290137795,0.056,0.028284271247461898,0.013038404810405298
0.083,0.05608029957123981,0.025,0.07294518489934754
0.026,0.023,0.014,0.014317821063276353
0.042485291572496,0.038,0.023,0.004
0.233,0.22627416997969524,0.17189822570346674,0.004242640687119285
0.14500344823486094,0.14,0.01345362404707371
0.14500344823486094,0.0196468827043885,0.162,0.02842534080710379
0.074,0.05103920062069938,0.009
0.014,0.025455844122715707,0.018,0.032
0.09265527507918801,0.07184010022264724,0.042059481689626185,0.11289375536317321
0.04024922359499621,0.04024922359499621,0.026832815729997475,0.00848528137423857
0.0551543289325507,0.064,0.0070710678118654745,0.045343136195018535
0.032,0.05,0.010295630140987002,0.0158113883008419
0.021,0.009,0.027,0.010816653826391968
0.01979898987322333,0.014,0.027,0.013
0.009848857801796104,0.045,0.038,0.009486832980505138
0.014,0.009,0.018,0.009848857801796104
0.044,0.018973665961010275,0.038,0.018
0.020124611797498106,0.033941125496954286,0.027,0.013416407864998738
0.06229767250869009,0.07971198153351854,0.05787054518492115,0.104
0.051429563482495166,0.023,0.004,0.05
0.03,0.010816653826391968,0.01979898987322333,0.0318276609256791
0.131,0.17256882684888372,0.08202438661763951,0.05481788029466299
0.085,0.061,0.01676305461424021,0.10062305898749054
0.027,0.018,0.012649110640673518,0.0266270539113887
0.044,0.03744329045369811,0.00565685424949238,0.03818376618407356
0.04242640687119285,0.018248287590894658,0.013,0.038
0.009,0.009,0.018,0.012727922061357854
0.009,0.012727922061357854,0.020124611797498106,0.018
0.020124611797498106,0.12432618388738553,0.48154023715573346,0.37444492251865297
0.045,0.051429563482495166,0.06708203932499368,0.01788854381999832
0.08287339742040264,0.055,0.033
0.021,0.009486832980505138,0.025455844122715707,0.027
0.009,0.018,0.009,0.012727922061357854
0.027,0.025455844122715707,0.020124611797498106
0.155,0.1100272693471941,0.07324616030891995,0.072
0.027,0.025455844122715707,0.020124611797498106
0.053,0.041593268686170845,0.03492849839314596,0.027294688127912362
0.09749358953285082,0.11289375536317321,0.06420280367709809,0.043840620433565944
0.023,0.026419689627245814,0.025,0.038
0.031112698372208085,0.0318276609256791,0.045
0.027,0.05374011537017761,0.024041630560342614,0.021840329667841555
0.029,0.009,0.028635642126552705,0.024041630560342614
0.0318276609256791,0.0324499614791759,0.05,0.04
0.032,0.021213203435596423,0.03712142238654117,0.018
0.0191049731745428,0.03,0.026,0.016643316977093238
0.046,0.026832815729997475,0.03466987164671943,0.01726267650163207
0.009,0.018,0.009,0.012727922061357854
0.00848528137423857,0.036,0.009,0.03354101966249684
0.013,0.03488552708502482,0.03640054944640259,0.050089919145472776
0.056,0.04,0.026925824035672518,0.04531004303683677
0.0191049731745428,0.028284271247461898,0.0208806130178211,0.027
0.027,0.01979898987322333,0.025455844122715707,0.006403124237432849
0.018,0.031,0.021633307652783935,0.019
0.027,0.041,0.020124611797498106,0.009848857801796104
0.014,0.009848857801796104,0.025455844122715707,0.027
0.023,0.03,0.009848857801796104,0.009486832980505138
0.021,0.025455844122715707,0.02435159132377184,0.0070710678118654745
0.023,0.023,0.009,0.009
0.12,0.16412799883018134,0.0031622776601683794,0.08032434251209282
0.027,0.0191049731745428,0.018384776310850233
0.0191049731745428,0.036,0.009,0.031112698372208085
0.0191049731745428,0.013,0.018,0.004
0.029698484809834995,0.018,0.04666904755831214,0.013416407864998738
0.018,0.018,0.025455844122715707
0.049,0.026,0.060083275543199206,0.010630145812734651
0.018,0.018,0.012727922061357854,0.012727922061357854
0.046,0.013,0.037,0.0158113883008419
0.036,0.03176476034853718,0.025238858928247926,0.00848528137423857
0.014,0.009848857801796104,0.027,0.025455844122715707
0.009,0.0191049731745428,0.0070710678118654745,0.018
0.03606937759374287,0.024596747752497688,0.022
0.043,0.041,0.009848857801796104,0.010816653826391968
0.020124611797498106,0.025455844122715707,0.036,0.009
0.009,0.0191049731745428,0.018,0.00565685424949238
0.020124611797498106,0.025455844122715707,0.027
0.062,0.06870953354520754,0.043289721643826724,0.019313207915827968
0.038,0.03130495168499706,0.020124611797498106,0.00412310562561766
0.094,0.052773099207835045,0.052630789467763076,0.010816653826391968
0.094,0.125,0.023853720883753128,0.0170293863659264
0.02,0.03298484500494128,0.038,0.028635642126552705
0.021213203435596423,0.010816653826391968,0.025495097567963924,0.0191049731745428
0.050911688245431415,0.04024922359499621,0.054
0.013,0.009,0.013,0.009
0.13290974381135492,0.113,0.018788294228055936,0.1512117720285031
0.009,0.009,0.009,0.009
0.018,0.0318276609256791,0.0318276609256791,0.018
0.068,0.06363961030678927,0.04525483399593905,0.0158113883008419
0.085,0.10244998779892558,0.07158910531638177,0.021400934559032695
0.018,0.018,0.025455844122715707
0.025455844122715707,0.0304138126514911,0.018,0.014317821063276353
0.036,0.02640075756488817
0.066,0.033,0.07446475676452587,0.005830951894845301
0.019,0.018,0.024,0.019924858845171277
0.018,0.025455844122715707,0.018
0.023,0.015,0.05590169943749474,0.04825971404805462
0.03,0.024041630560342614,0.010630145812734651,0.03354101966249684
0.018,0.018,0.025455844122715707
0.004,0.018,0.01979898987322333,0.014
0.03280243893371346,0.063
0.04024922359499621,0.053758720222862454,0.028653097563788806,0.07684399781375251
0.04525483399593905,0.036
0.035,0.03935733730830886
0.016,0.022360679774997897,0.012649110640673518,0.022
0.03298484500494128,0.06200806399170999,0.047,0.05798275605729689
0.050911688245431415,0.014560219778561036,0.05939696961966999,0.012806248474865698
0.004,0.03252691193458118,0.027,0.023
0.014,0.018,0.009,0.009848857801796104
0.014,0.014,0.009,0.009
0.023,0.03818376618407356,0.012529964086141668,0.02213594362117866
0.027,0.03889730067755345,0.028
0.09333809511662428,0.095,0.01392838827718412
0.025455844122715707,0.041,0.04024922359499621,0.059
0.065,0.06081118318204308,0.04830113870293329
0.009,0.009,0.019,0.01345362404707371
0.025455844122715707,0.045,0.037,0.01
0.061,0.065,0.04468780594300866,0.10159232254457026
0.009,0.0070710678118654745,0.019,0.01979898987322333
0.0324499614791759,0.027,0.012,0.03
0.012727922061357854,0.019,0.006403124237432849,0.01979898987322333
0.05186520991955976,0.026870057685088804,0.021,0.03354101966249684
0.022,0.018973665961010275,0.018,0.028
0.022,0.009,0.027,0.010295630140987002
0.040792156108742275,0.082,0.0388329756778952,0.0316227766016838
0.021,0.04743416490252569,0.045,0.006
0.027,0.029,0.009,0.009219544457292887
0.021,0.027,0.010816653826391968,0.009
0.027,0.021213203435596423,0.010295630140987002,0.023259406699226017
0.034713109915419565,0.012,0.058,0.06862215385719106
0.024596747752497688,0.022,0.03,0.013601470508735444
0.027,0.0191049731745428,0.01979898987322333
0.018,0.018,0.012727922061357854,0.012727922061357854
0.05586591089385369,0.018,0.06717886572427374,0.012806248474865698
0.121,0.135,0.020591260281974003,0.018439088914585774
0.121,0.12293087488503447,0.051478150704935006,0.005
0.0324499614791759,0.055,0.045,0.028160255680657446
0.036,0.036,0.012727922061357854,0.012727922061357854
0.009,0.018,0.012727922061357854,0.009
0.009,0.009,0.018,0.012727922061357854
0.018973665961010275,0.031,0.005,0.031112698372208085
0.03,0.025455844122715707,0.005830951894845301,0.02213594362117866
0.009,0.009,0.012727922061357854,0.018
0.018,0.025455844122715707,0.018
0.026172504656604804,0.028,0.006708203932499369,0.021213203435596423
0.046,0.0316227766016838,0.058,0.06260990336999411
0.01565247584249853,0.023,0.034,0.014560219778561036
0.041880783182743846,0.032,0.046,0.023194827009486402
0.009,0.012727922061357854,0.009,0.018
0.012,0.04441846462902562,0.072,0.0318276609256791
0.009,0.018,0.009,0.012727922061357854
0.027730849247724097,0.055,0.012727922061357854,0.029698484809834995
0.012,0.018,0.014,0.015231546211727818
0.020124611797498106,0.028,0.026172504656604804
0.018,0.012727922061357854,0.0070710678118654745,0.01979898987322333
0.045,0.04808326112068523
0.018,0.0304138126514911,0.016643316977093238,0.054
0.029,0.010295630140987002,0.03130495168499706,0.023769728648009428
0.022,0.013341664064126334,0.021,0.026248809496813377
0.022,0.031,0.009,0.012727922061357854
0.027,0.009,0.018
0.045,0.031112698372208085,0.045,0.031112698372208085
0.012369316876852983,0.04947726750741193,0.03252691193458118,0.0318276609256791
0.01565247584249853,0.026172504656604804,0.014317821063276353
0.014317821063276353,0.024,0.034,0.01565247584249853
0.024,0.022,0.009,0.009219544457292887
0.033,0.02570992026436488,0.03606937759374287,0.00223606797749979
0.018,0.045,0.020124611797498106,0.012727922061357854
0.018,0.018
0.00848528137423857,0.018,0.013416407864998738
0.036,0.041,0.01044030650891055,0.010198039027185569
0.01697056274847714,0.019,0.028178005607210743,0.02220360331117452
0.0191049731745428,0.028,0.032,0.016643316977093238
0.018,0.0191049731745428,0.009,0.00565685424949238
0.014,0.014,0.014,0.014
0.034481879299133336,0.05412023651093924,0.0266270539113887,0.057
0.009,0.012727922061357854,0.009,0.018
0.024,0.029,0.009,0.010295630140987002
0.034,0.029,0.009,0.010295630140987002
