962,4948,15339
5190,5313,17466
5814,15427,18350
7226,15585,15618
1805,15724,18380
2543,10608,18669
10953,10994,17811
2850,16305,16314
16307,16326,17821
11032,11067,11102
11113,16329,18455
3230,16496,17911
11955,16564
17939,17950,18504
16588,17946,17972
16608,16624,17958
12197,12236,18512
12351,12453,16677
12787,16765,18696
3712,12844,18752
18037,18041
3739,16803
3765,18535,18777
13641,16930,18095
16988,17013,18111
17063,17076,18134
14058,17088,18568
14143,18580,18584
14412,18589,18592
14456,17215,18759
17232,17238,17242
17257,18599,18603
14684,14842,18599
17341,18314,18319
15224,17426,18629
15235,15255,15278
899,4864,4882,15287
906,908,17435,18780
4888,15288,15317,17434
909,4889,4890,15319
4896,15320,17437
916,4898,18761
921,922,4899,17439
925,4906,4908,17439
4909,15326,15329,17441
4912,4914,15329,17441
4866,4908,15289,18761
4927,4928,15330,17442
955,960,15330,15332
954,15334,18632,18729
957,4944,15290
4943,4944,15338
966,4949,4950,18634
977,978,15345,18635
980,4973,15340,17447
1000,4966,17446,17450
998,17447,18333,18340
1023,5052,5120,15352
5193,5261,5262,15374
1111,1112,5347,18336
1118,5351,15370,18781
63,1124,18343,18731
62,1125,18343,18731
1125,5415,18731
1070,5189,5259,17465
5260,5363,15373,18335
1097,15362,15380,17457
5319,15363,17458,17467
1138,1178,5355,15371
71,5357,15390,18762
70,1142,15390,18762
73,1142,17471,18762
72,15378,17471,18762
75,15378,17472,18781
74,5358,17472,18781
1147,1148,17473,18763
1152,5361,5413,15372
1237,5417,15380,17457
5400,5401,5479,15370
1187,1188,5497,18638
1095,1236,5416,17474
5424,15384,15394,15407
5392,5461,15396,17479
5412,5499,15403,18645
5501,5502,15392,15414
1264,1265,17485,18765
1265,5595,5698,18765
1266,5500,5706,18341
1288,5806,15447,18732
1292,5696,15449,18766
92,5696,17498,18766
91,1293,17498,18766
5704,5705,5812,18340
1268,5816,15414,18346
96,15418,18347,18640
95,18640
1329,5969,15439,17490
1410,1411,5813,15464
1440,15452,15465,17499
1352,6200,15471,17505
1386,15488,15510,15511
6223,6345,15477,15491
15483,15498,15499,18647
1436,1437,17503,17522
106,15485,15505,18351
105,1438,15485,15505
6438,6439,17505,17506
6397,17508,17512,18646
6281,6407,6520,17517
1472,6274,6624,18352
1506,15511,15528,17520
1471,1494,6401,15557
1475,15525,17518,17532
6528,6734,15537,17526
1514,6726,6825,17522
1537,6623,6829,17531
1521,15536,18649
1525,15539,15561,15579
1529,6779,17528,17538
1537,6830,17531,17541
6727,15545,15588,17536
1553,6778,15567,18648
1568,1569,6826,7021
6836,15573,15574,15589
1590,6941,15605,17543
7124,15589,15604,15611
7076,7180,15608
1655,1656,7230,18356
7173,7174,7280,17556
7238,7344,7448
1669,7386,7493,17550
7386,7387,15638,17551
1695,15610,18365,18649
7382,7489,17556,17563
1688,7490,15624,15648
1680,7556,15653,18365
1702,7690,18363
1725,7492,7605,15649
1713,15643,18654
141,7754,15651,18367
140,7755,15651,18367
15653,15667,18365
7789,7905,15654,15670
7804,7805,15656,18371
7947,15661,17568
7835,7948,15648
1778,15666,15689,17577
153,17553,17580
1787,7946,17568,18372
8001,8002,8118,15675
1799,7899,7900,8011
8372,15627,17578,17579
148,8132,17580,18370
8030,8031,8150,15681
1766,8062,17586
8101,8221,15707,17575
8123,8124,17576,18381
1826,15689,15697,18656
8036,15700,18371
1850,1851,8244,15695
1802,15715,15723,18654
8374,17567,18376
1876,8612,17605,18658
15714,15793,15806,18375
1907,8730,15748,18378
8731,15749,15763,18376
1879,8733,18657
1912,1913,15772,17593
8752,15756,17594,18385
8642,17595
1923,8659,17597,17603
8659,8660,15739,15777
8609,8724,15743,17604
1976,8614,8833,18768
1934,15751,15809,18768
1974,8729,17605,17609
8835,8836,15766,15795
1958,8840,15769,15798
1990,8935,15781,18387
8965,15786,15800,15814
8863,8973,15802,15816
8864,8974,9076,18737
1996,2019,9036,17570
1997,8937,15807,15836
1975,9143,17611,17617
8959,9060,15812,17620
8961,9061,9164,17621
9032,9127,9128,9220
190,15808,15837,18661
189,9142,15808,15837
2022,2023,8732,18773
9144,9235,15869,18388
9082,9269,15829,17623
9129,9130,9307,15834
9226,9313,17610,18659
2029,2061,9228,17663
9237,9238,9320,15822
9150,9240,9322,18392
9253,9337,17620,17628
2070,9346,15828,15847
2071,9268,9347,18660
9307,9308,15834,18396
2092,9267,15855,18397
15863,15880,17640,18394
2137,17633,18398,18663
9462,15907,18391,18399
9467,15867,17644
9399,9472,9473,15898
9479,9480,15874,15902
9564,15878,15891
2140,9496,9570,17635
9531,9603,15879,18396
2170,9461,9542,15895
2149,9468,15896,17664
2177,9469,15884,15908
2150,9546,15885,15910
2155,9557,9629,15889
9530,9602,17648,18401
2173,17642,17654,18661
9632,15904,15914,15931
2190,2191,15934,17646
2225,17648,18401
9681,9759,15906,15943
9543,9682,17661,17670
9617,9991,17653,18402
2206,9688,15947,17650
2255,9636,15936,18405
9770,9771,15962,17656
2257,15980,17668,18400
15957,16002,17664
2287,9818,15971,15982
2316,17669,17670
9912,15972,15986
2293,9845,9918,16004
2314,10050,15971,15982
2297,2325,17680,18409
2306,2356,10015,15995
2315,15985,17687,17692
2318,2342,16049,18408
2374,16021,17680,18409
2331,10101,16009,17691
2366,10239,15999,16019
2341,10240,16019,17688
10070,10071,17693,17706
10164,10242,16001,16002
10076,10243,16003,16036
2348,10248,16037,17690
16086,17687,17692,17699
2412,10160,16034,17699
10240,10359,17688,17706
