11972,11973,12042
1202,12048,14293
5221,12077,12082
5373,12124,15548
5456,15220,15551
12367,14428,15560
6486,12388,12400
12446,14448,14451
12449,12475,15267
7040,12494,15270
12534,12549,14493
12602,12637,14513
8251,12854,15314
8474,12886,15657
12898,12933,15337
8560,8590,14649
8573,8623,15344
8674,12959,15346
12989,13003,15678
8688,13050,14691
3188,13174,15375
14749
9277,13231,14784
3347,14780,15601
9395,14788,14799
9391,9437,15393
13356,13370,14828
9535,14825,14833
9537,9557,15667
9609,14847,15415
14846,14851,14852
3676,9660,13454
9994,13593,15622
13624,13639,13657
10135,13710,15450
13705,14972,15449
10163,10187,14974
4092,10220,14989
4124,13748,15454
13778,13804
4247,15019,15030
11086,11186,13952
11277,13968,13999
4550,13991,15095
11271,11356,15635
11355,14028,15635
4597,11579,15106
11539,11568,15636
14027,15129,15132
4761,14163,14191
4789,14200,14209
11889,15173,15186
11950,15186,15190
11950,14260,15190
4932,11987,11995,11996
4944,11987,11996
4933,4945,11988,11995
4944,4947,11996,14271
4949,11997,14271,14272
4948,11989,11998
1118,1119,4947,14272
4949,11997,11998,11999
4951,4952,12000,14274
1122,4955,12003,14273
4967,12006,12009,14276
1158,5021,14282,14283
1162,5033,12019,14283
1165,5043,12022
1177,5077,5089,12030
1186,12022,15202
1187,5125,14286,15647
75,14285,14287
1197,5125,5130,14286
5120,12034,12039,15203
72,5127,12036
1200,12034,12039,14290
5127,5128,12036,12044
1204,5131,14289,14291
12038,12039,14290,15204
12044,12045,12046,15205
11973,14263,14296
5142,5144,5154,12055
1228,5155,12050,14295
5189,12061,12063
5164,5173,12070
1255,1261,12065,12078
1267,5172,5188,14294
5205,12068,15206,15215
1271,5207,15207,15543
1272,12064,12071,14301
5208,12066,12075,15209
5206,5222,5237,14299
1268,1278,12073,15543
12077,12078,12082,12096
5265,5266,12074,12079
5251,5261,12089,14304
5263,5273,5285,15544
1284,5286,12085,15210
5272,5290,12092,12093
5274,5287,5296
5275,5276,5287,15545
1311,1312,5295,15546
5296,5332,15210,15545
1308,5306,12126,15212
106,1331,5330,15693
105,5316,5330,15693
108,5316,15547,15693
107,5317,15547,15693
1335,5317,5318,15693
5307,5333,12102,15212
1337,5331,14313,15687
1338,1347,5331,15687
1346,5340,12115,14312
1366,5338,12119,14315
1356,12117,12123,14316
1357,1372,5343,5352
5319,12112,12124,15548
5353,5354,12130,14310
5342,12123,15550
1358,1373,1379
5391,5403,12137,14323
5396,5409,5424,15219
5415,5433,12142
1411,5423,12143,14329
1432,5416,15217,15551
5423,5424,14329,14331
1433,5434,12156,12157
1434,12158,14331,15219
1438,5441,5450,12160
5448,5458,12157,12162
5458,5459,12150,12163
5476,12165,14328,14335
5465,12154
1462,12152,14338,15221
12165,12166,12191,14335
5491,5498,12161,15644
1506,5477,5478,14344
1473,5510,15223
5486,5487,12170,14348
1480,5501,5518,14343
1490,5506,12167,12178
5495,5539,12179,15223
5519,5520,5533,15222
5512,5542,12186,12187
146,5525,14346,14357
145,1497,14346,14357
1485,5527,5545,14350
5514,5528,5546
1488,1500,5556
1522,5544,12194,14347
5546,5547,12189,15226
1511,5579,12193,12203
1516,12197,12198,15227
1518,5558,15228
1529,1541,15231,15541
5594,5623,14364,15229
1561,5606,14363,15234
1568,5628,14361,15552
5614,14374,15230,15236
5631,12223,12234,15227
1545,1582,12217,14365
1583,5622,12226,12227
5623,5648,12227,12228
1566,12230,14370
1577,5628,5654,15552
1578,5643,5658,12215
169,5629,12222,15232
5637,5647,12238,15234
167,5673,12222,15232
1580,5659,5674,12234
5657,5686,12236,12248
1595,12233,12249,12250
5661,5676,12244,12253
1588,5676,12263,14371
12240,12246,12259
5692,5705,12252,15233
5662,5707,12254,14372
183,5678,12256,12257
5680,5695,12258,14381
181,5715,12260,15237
180,5715,12261,15237
5703,5704,12250,12268
178,5727,12256,12257
5681,5710,14377,14384
5710,5711,5730,15235
1631,5702,5772
1616,1632,5722,12287
192,1630,15242
1645,5691,5748,5773
1646,5724,12294,15238
5732,5756,5782,14389
188,5897,15242
1645,5773,5800,15240
5804,12271,12272,15241
1652,5753,12289,14392
1671,5832,12293,15239
5833,12289,14392,14395
5803,12297,12307,15650
5832,5861,6222,14397
201,12286,14397,14403
200,12286,14398,14403
5944,12305,12324,14393
1683,1693,12305,12313
1702,1703,12317,15554
1730,5897,15242,15556
1706,5862,5899,5942
1695,5948,12314,12315
12311,15556
1705,6033,12318,14408
211,5901,12319,12323
210,6035,12319,12323
1735,5947,5993,12333
217,12334,12335,14406
1747,5954,6000,14413
1742,1767,5988
1744,6040,12345
213,6087,12334,12335
6034,6128,14414,15254
6086,12325,14405,14419
1767,12343,12351
1792,6127,12337,14427
6041,12354,14416,15559
6089,6090,12348,14422
1798,6131,12340,15247
6091,6131,12370,14421
1802,1814,12343,12351
6225,12345,12353,15252
6174,6227,12346,14425
6219,12330,12357,12374
1806,12359,14419,14444
6219,6268,6372,12374
1840,12368,14415,14429
6175,6271,6323,15559
1808,6272,12360,12391
1810,6273,6326,15256
6374,12365,12386,14427
6319,12395,14435,15254
6320,6321,6375,12366
1820,1837,6322,15561
12371,14433
6328,6377,12392,14430
1862,12376,14443,15260
248,6428,14440,15257
6429,12379,12380,12399
6223,12394,14441,15253
1863,6427,12411,14436
6548,12396,12397,14409
243,6428,14440,15263
1862,1873,14443,15261
6325,6487,12390
1883,6489,6557,12402
6490,6491,6558,14438
6494,6563,12403,14446
6481,12414,12425,14442
6482,6547,12410,12427
1879,6485,6551,6617
6546,6613,12436,14454
259,12437,15261
258,12415,12438
6681,12416,15263
1894,6686,12442,14452
6617,12429,12430,12450
1925,12461,14450,15264
1934,6679,6747
