0.018,0.025455844122715707,0.018
0.03818376618407356,0.027,0.027
0.018,0.018,0.025455844122715707
0.027,0.03818376618407356,0.027
0.020124611797498106,0.045,0.04024922359499621
0.027,0.027,0.03818376618407356
0.03,0.0318276609256791,0.023086792761230393
0.025455844122715707,0.018,0.018
0.018384776310850233,0.0191049731745428,0.027
0.018,0.018,0.025455844122715707
0.025455844122715707,0.018,0.018
0.026172504656604804,0.019,0.018
0.018,0.018
0.025455844122715707,0.018,0.018
0.036,0.0304138126514911,0.0266270539113887
0.018,0.018,0.025455844122715707
0.018,0.036,0.04024922359499621
0.018,0.025455844122715707,0.018
0.018,0.018,0.025455844122715707
0.018,0.018,0.025455844122715707
0.027,0.01979898987322333
0.018,0.018
0.05679788728465171,0.056,0.025495097567963924
0.027,0.0191049731745428,0.018384776310850233
0.0191049731745428,0.028,0.0191049731745428
0.018,0.018,0.025455844122715707
0.018,0.018,0.025455844122715707
0.0191049731745428,0.027,0.01979898987322333
0.036,0.018,0.04024922359499621
0.018,0.018,0.025455844122715707
0.018,0.018,0.025455844122715707
0.045,0.022,0.050089919145472776
0.03818376618407356,0.028460498941515415,0.036
0.09546203433826454,0.067,0.068
0.026172504656604804,0.026172504656604804,0.036
0.025455844122715707,0.018,0.018
0.012727922061357854,0.020124611797498106,0.027,0.036
0.2573868683519033,0.26728636328851496,0.018,0.013038404810405298
0.022360679774997897,0.03,0.029,0.02147091055358389
0.012727922061357854,0.0318276609256791,0.018,0.014866068747318507
0.025455844122715707,0.018,0.018
0.014,0.06,0.014317821063276353
0.018,0.009,0.012727922061357854,0.009
0.018973665961010275,0.021,0.041,0.027459060435491962
0.0158113883008419,0.017088007490635063,0.021,0.021
0.018,0.020124611797498106,0.009,0.036
0.018,0.034,0.024041630560342614,0.03891015291668744
0.022,0.022,0.032,0.032
0.027,0.006708203932499369,0.029698484809834995,0.026832815729997475
0.014,0.04024922359499621,0.052,0.03577708763999664
0.05,0.009,0.05
0.018,0.006403124237432849,0.0318276609256791
0.036,0.00848528137423857,0.009,0.03354101966249684
0.098,0.143,0.009,0.04589117562233506
0.049,0.012727922061357854,0.020124611797498106,0.058
0.009,0.029,0.009486832980505138,0.032
0.07178439941937245,0.20124611797498107,0.26120490041344935,0.031
0.012727922061357854,0.009,0.009,0.018
0.009,0.009,0.009,0.009
0.009,0.018,0.009,0.012727922061357854
0.145,0.013,0.14,0.01392838827718412
0.072,0.103,0.010295630140987002,0.03710795063055894
0.072,0.054,0.012727922061357854,0.028460498941515415
0.027,0.020124611797498106,0.025455844122715707
0.012727922061357854,0.013416407864998738,0.021213203435596423,0.036
0.018,0.027,0.009,0.012727922061357854
0.009,0.012727922061357854,0.018,0.009
0.009,0.014,0.009,0.014
0.018,0.009,0.009,0.012727922061357854
0.063,0.036,0.009,0.028460498941515415
0.063,0.108,0.012727922061357854,0.03710795063055894
0.198,0.144,0.009,0.05474486277268397
0.198,0.27,0.012727922061357854,0.06363961030678927
0.313,0.311,0.012727922061357854,0.014212670403551895
0.313,0.325,0.009,0.015
0.072,0.018,0.01979898987322333,0.04237924020083418
0.009,0.023,0.013,0.0191049731745428
0.013416407864998738,0.013416407864998738,0.018,0.018
0.014,0.023,0.012727922061357854,0.009
0.063,0.036,0.009,0.028460498941515415
0.009486832980505138,0.012727922061357854,0.021,0.027
0.009,0.009,0.009,0.009
0.009,0.009,0.009,0.009
0.014,0.051,0.057,0.015231546211727818
0.018,0.009,0.012727922061357854,0.009
0.063,0.045,0.012727922061357854,0.028460498941515415
0.018,0.009,0.009,0.012727922061357854
0.009,0.024041630560342614,0.036,0.032202484376209234
0.099,0.018,0.0078102496759066544,0.09701546268507923
0.148,0.108,0.010295630140987002,0.04589117562233506
0.045,0.072,0.009,0.028460498941515415
0.045,0.03,0.009486832980505138,0.020124611797498106
0.038,0.027,0.012727922061357854,0.009219544457292887
0.013,0.027,0.010295630140987002,0.012727922061357854
0.021,0.018,0.009486832980505138,0.009
0.021,0.01345362404707371
0.009,0.009,0.009,0.009
0.005830951894845301,0.025455844122715707,0.021,0.023
0.029966648127543394,0.03818376618407356,0.018,0.032
0.021,0.018,0.009,0.009486832980505138
0.033,0.018,0.00223606797749979,0.03577708763999664
0.009,0.009,0.009,0.009
0.009,0.023,0.023,0.009
0.018,0.018,0.009,0.009
0.009,0.012727922061357854,0.012727922061357854,0.027
0.009,0.009,0.009,0.009
0.027,0.009486832980505138,0.012727922061357854,0.021
0.018,0.018,0.036,0.025455844122715707
0.018,0.009,0.012727922061357854,0.020124611797498106
0.027,0.021213203435596423,0.026172504656604804,0.007211102550927978
0.023,0.023,0.009,0.009
0.006403124237432849,0.041,0.025,0.054083269131959835
0.009,0.012727922061357854,0.012727922061357854,0.027
0.009,0.009,0.009,0.009
0.018,0.009,0.009,0.012727922061357854
0.009,0.0191049731745428,0.00565685424949238,0.018
0.036,0.050911688245431415,0.036
0.014,0.018,0.020124611797498106,0.009848857801796104
0.009,0.009,0.009,0.009
0.018,0.014,0.009,0.009848857801796104
0.013,0.010295630140987002,0.020124611797498106,0.018
0.018,0.012727922061357854,0.018,0.012727922061357854
0.027,0.009,0.012727922061357854,0.012727922061357854
0.009,0.009,0.009,0.009
0.009,0.012727922061357854,0.012727922061357854,0.027
0.009,0.009,0.009,0.009
0.018,0.009,0.009
0.0191049731745428,0.0070710678118654745,0.018,0.020124611797498106
0.009,0.01345362404707371,0.01,0.018
0.012727922061357854,0.009,0.009
0.009,0.009,0.009,0.009
0.009,0.009,0.009,0.009
0.044,0.038626415831655936,0.005,0.045967379738244815
0.013,0.009,0.010295630140987002,0.018
0.018,0.009,0.009,0.012727922061357854
0.033,0.009,0.031,0.009219544457292887
0.018,0.019,0.026172504656604804
0.012727922061357854,0.009,0.009,0.018
0.022,0.025,0.018681541692269404
0.009,0.018,0.009,0.012727922061357854
0.009,0.018,0.012727922061357854,0.009
0.013152946437965905,0.013,0.041
0.018,0.014,0.0191049731745428,0.005
0.009,0.018,0.009,0.012727922061357854
0.018,0.025455844122715707,0.018
0.018,0.036,0.04024922359499621
0.018,0.03,0.012727922061357854,0.009486832980505138
0.013,0.026925824035672518,0.025942243542145693
0.009,0.009,0.012727922061357854,0.018
0.009,0.009,0.009,0.009
0.021,0.018,0.009486832980505138,0.009
0.018,0.019313207915827968,0.045,0.038
0.013,0.022,0.009,0.012727922061357854
0.009,0.009,0.009,0.009
0.018,0.018,0.025455844122715707
0.009,0.012727922061357854,0.020124611797498106,0.018
0.036,0.022,0.018,0.02280350850198276
0.018973665961010275,0.021,0.04,0.0266270539113887
0.025495097567963924,0.026,0.009848857801796104
0.009,0.012727922061357854,0.009,0.018
0.023,0.009,0.025,0.009219544457292887
0.037,0.012727922061357854,0.018
0.009,0.014,0.009848857801796104,0.018
0.071,0.069,0.0324499614791759,0.03138470965295043
0.014,0.009,0.018,0.009848857801796104
0.014,0.021,0.01565247584249853,0.02213594362117866
0.0191049731745428,0.027,0.01979898987322333
0.009,0.018,0.012727922061357854,0.009
0.012727922061357854,0.005,0.023,0.01979898987322333
0.018,0.018
0.009,0.018,0.009,0.012727922061357854
0.018,0.009,0.012727922061357854,0.009
0.009,0.009,0.012727922061357854,0.018
0.013416407864998738,0.036,0.021213203435596423,0.012727922061357854
0.021,0.036,0.034785054261852175,0.01044030650891055
0.014,0.018,0.009,0.009848857801796104
0.009,0.009,0.009,0.009
0.009,0.009,0.009,0.009
0.012727922061357854,0.009,0.012727922061357854,0.027
0.009,0.009,0.009,0.009
0.009,0.009,0.009,0.009
0.012727922061357854,0.009,0.018,0.020124611797498106
0.064,0.012727922061357854,0.059,0.009848857801796104
0.014,0.018,0.014,0.018
0.009,0.018,0.012727922061357854,0.009
0.014,0.009,0.009,0.014
0.018,0.009,0.0070710678118654745,0.0191049731745428
0.009,0.009,0.018,0.012727922061357854
0.009,0.014,0.014,0.009
0.009,0.027,0.012727922061357854,0.012727922061357854
0.038,0.043,0.009,0.010295630140987002
0.018,0.012727922061357854,0.028460498941515415,0.04024922359499621
0.012727922061357854,0.012727922061357854,0.018,0.018
0.0070710678118654745,0.009,0.0191049731745428,0.018
0.021,0.036,0.010816653826391968,0.03818376618407356
0.018,0.035,0.038,0.018248287590894658
0.009,0.009,0.009,0.009
0.009,0.009,0.009,0.009
0.009,0.009,0.009,0.009
0.009,0.012727922061357854,0.009,0.018
0.018,0.021,0.009,0.009486832980505138
0.018,0.018,0.025455844122715707,0.025455844122715707
0.009,0.009,0.018,0.012727922061357854
0.023,0.014142135623730949,0.0031622776601683794,0.0191049731745428
0.014,0.027,0.012727922061357854,0.009848857801796104
0.021,0.029,0.0316227766016838,0.012727922061357854
0.018,0.025455844122715707,0.018
0.009,0.009,0.009,0.009
0.009,0.009,0.009,0.009
0.018,0.018,0.009
0.018,0.009,0.009,0.012727922061357854
0.009,0.027,0.01769180601295413,0.025238858928247926
0.009,0.009,0.009,0.009
0.019,0.009,0.021,0.009219544457292887
0.00848528137423857,0.014317821063276353,0.026172504656604804,0.018
0.01,0.01,0.009,0.009
0.019,0.01,0.009,0.012727922061357854
0.009,0.01,0.01,0.009
0.032,0.03605551275463989,0.021,0.009219544457292887
0.009,0.009,0.009,0.009
0.004,0.018,0.01979898987322333,0.014
0.025455844122715707,0.018,0.018
0.009,0.014,0.018,0.009848857801796104
0.020124611797498106,0.023,0.02102379604162864,0.010295630140987002
