0.04561797891182818,0.041,0.02
0.03818376618407356,0.027,0.027
0.025455844122715707,0.018,0.018
0.025455844122715707,0.018,0.018
0.023,0.022,0.0318276609256791
0.020124611797498106,0.025455844122715707,0.027
0.018,0.04024922359499621,0.036
0.025455844122715707,0.025455844122715707,0.036
0.020124611797498106,0.04024922359499621,0.045
0.027,0.018384776310850233,0.0191049731745428
0.03252691193458118,0.023,0.023
0.0191049731745428,0.01979898987322333,0.027
0.03,0.03794733192202055,0.04024922359499621
0.027,0.0191049731745428,0.01979898987322333
0.03818376618407356,0.027,0.027
0.018,0.019,0.026172504656604804
0.018,0.025455844122715707,0.018
0.03818376618407356,0.027,0.027
0.018,0.026172504656604804,0.019
0.025455844122715707,0.018,0.018
0.018,0.025455844122715707,0.018
0.018
0.031112698372208085,0.026076809620810597,0.036
0.026172504656604804,0.019,0.018
0.018,0.025455844122715707,0.018
0.027,0.025455844122715707,0.020124611797498106
0.018,0.018,0.025455844122715707
0.023086792761230393,0.0318276609256791,0.03
0.018,0.018,0.025455844122715707
0.018,0.036,0.04024922359499621
0.027,0.0191049731745428,0.01979898987322333
0.018384776310850233,0.0191049731745428,0.027
0.019,0.018,0.026172504656604804
0.018,0.018,0.025455844122715707
0.03818376618407356,0.027,0.027
0.018,0.025455844122715707,0.018
0.018,0.018,0.025455844122715707
0.018,0.025455844122715707,0.018
0.018384776310850233,0.027,0.0191049731745428
0.05374011537017761,0.04604345773288535
0.018,0.018,0.025455844122715707
0.04024922359499621,0.018,0.036
0.027,0.020124611797498106,0.025455844122715707
0.027,0.025455844122715707,0.020124611797498106
0.020124611797498106,0.045,0.04024922359499621
0.032,0.04525483399593905,0.032
0.027,0.06037383539249432,0.054
0.018,0.018,0.025455844122715707
0.029068883707497266,0.039,0.036769552621700466
0.025455844122715707,0.020124611797498106,0.027
0.019,0.018,0.026172504656604804
0.027,0.027,0.03818376618407356
0.018,0.025455844122715707,0.018
0.018,0.04024922359499621,0.036
0.014317821063276353,0.015,0.023,0.0191049731745428
0.05,0.05,0.009
0.018,0.021,0.009,0.009486832980505138
0.01979898987322333,0.023,0.009,0.014
0.013,0.018,0.021213203435596423,0.003605551275463989
0.018,0.018,0.025455844122715707
0.009,0.012727922061357854,0.009,0.018
0.009,0.018,0.009,0.018
0.013,0.013,0.013,0.013
0.018,0.009,0.036,0.020124611797498106
0.018,0.009,0.012727922061357854,0.009
0.009,0.021,0.018,0.009486832980505138
0.018,0.012727922061357854,0.012727922061357854,0.018
0.027,0.041,0.04909175083453431
0.021,0.009,0.018,0.009486832980505138
0.07,0.073,0.009486832980505138
0.009,0.023,0.013,0.0191049731745428
0.025455844122715707,0.018,0.018
0.023,0.00894427190999916,0.011,0.021213203435596423
0.009,0.009,0.018,0.012727922061357854
0.025455844122715707,0.018,0.018
0.009,0.009,0.018,0.012727922061357854
0.014,0.018,0.009,0.009848857801796104
0.012727922061357854,0.009,0.009,0.018
0.024413111231467405,0.024596747752497688,0.009486832980505138,0.039
0.009,0.009,0.009,0.009
0.06573431371817919,0.05573149917237109,0.05053711507397311
0.012727922061357854,0.009,0.009,0.018
0.013,0.012727922061357854,0.010295630140987002,0.027
0.018,0.025455844122715707,0.018
0.028,0.027,0.03889730067755345
0.013,0.027,0.019,0.015264337522473748
0.021213203435596423,0.020124611797498106,0.031,0.006324555320336759
0.104,0.076,0.032015621187164243,0.03689173349139343
0.009,0.023,0.009,0.023
0.014,0.01565247584249853,0.019,0.012
0.01,0.006403124237432849,0.018,0.0191049731745428
0.018,0.009,0.027,0.012727922061357854
0.012727922061357854,0.021213203435596423,0.018,0.013416407864998738
0.009,0.0191049731745428,0.021,0.02435159132377184
0.0191049731745428,0.020124611797498106,0.012727922061357854,0.018384776310850233
0.009,0.009,0.009,0.009
0.020124611797498106,0.018,0.009,0.036
0.012727922061357854,0.009486832980505138,0.021,0.027
0.009,0.009,0.009,0.009
0.018,0.018,0.025455844122715707
