5007,5012,5497
736,4037,5021
2383,4041,5018
2563,4147,5524
2566,4152,5081
963,2599,5693
4186,5087,5089
2633,5088,5094
2650,5094,5100
4195,5096,5696
2690,2691,5535
2722,4249,4261
2739,5130,5139
4288,4298,5540
2826,4306,5152
2882,5545
2878,2885,5550
2963,4351,5198
1298,5202,5699
1356,4020,5216
5235,5237,5563
3032,5002,5558
1394,3033,5705
1410,4462,5564
4468,4472,5567
1459,3092,4483
3119,4498,5579
3134,3142,4507
3160,3164,5276
3164,5274,5282
1629,4578,5296
1688,4606,5321
1771,3409,5724
1823,5358,5626
3485,5362,5621
1825,4695,5361
3506,5366,5370
530,4727,5492
3594,4746,5767
1998,5400,5405
3715,3716,5420
3722,3727,4825
2058,5659,5771
3756,5429,5434
2088,3795,4845
3804,4864,5435
2105,4859,5671
3835,4861,5670
3821,4873,5740
2126,2132,5741
2149,4893,4903
3888,3897,5745
4934,5680
677,3918,4933
3923,4947,5472
2337,4032,5489
4012,4034,5491
1515,5266
2376,2393,4037
2347,4044,4049
740,2382,4015
742,2325,5015
758,2395,5691
2329,2356,5013,5017
2364,2365,4039,5014
765,2357,4039
747,766,2348,4040
751,2391,4030,5019
753,2370,4042,4047
770,2362,4043,4057
745,2343,2409,5500
746,2355,2363,4053
2355,2363,5013,5026
782,2380,5007,5497
768,2341,2369,5501
759,793,2345,4058
78,780,4048,4085
77,4048,4085,5502
738,794,2346,5023
2408,4052,4057
2393,4037,5021,5049
796,797,5017,5690
803,2401,2418,5025
85,4059,5028,5511
84,4059,5505,5511
819,839,2430,5027
2406,2434,5035,5504
2408,2422,4068,4078
808,2410,4075,5048
846,2413,2414,5036
810,4088,5026,5030
832,2424,4064,5508
812,2463,4071,5031
2444,4046,5012,5033
802,2400,2428,5041
2390,2429,4067,5506
2417,2427,2443,5040
2411,5038,5043,5502
2439,4086,5038
864,2444,4093
868,4077,4083
809,2499,4139,5691
2440,2451,5050,5511
105,2473,5508,5512
104,2462,2473,5508
872,2462,5509
2468,2480,4066,5037
2455,2481,5510
875,2458,4097
2500,5050,5511
112,4089,4101,4106
111,2474,4089,4106
884,4102,4108,5040
2468,2480,2494,5506
876,877,4114,5513
890,5030,5036,5053
891,2501,4100,4105
2474,4106,5045,5516
885,2491,4092,4119
2477,2493,5046,5515
2496,2509,4016
