832,834,1588
834,1588,1590
323,838,1592
330,1329,1595
63,1785,1844
353,1598,1600
1310,1340,1844
370,874,1787
1346,1347,1348
876,878,1834
880,1348,1603
382,1607,1853
399,1581,1729
407,1358,1362
1371,1615,1733
420,424,1625
443,1621
922,925,1381
126,965,1633
977,1637,1638
976,979,1854
1420,1848
525,1004,1793
536,540,1648
1010,1017,1433
546,1430,1436
554,1029,1825
1442,1446,1747
568,1452,1656
1048,1477,1661
1063,1065,1068
674,1118,1686
1240,1690
726,1807,1830
736,1545,1546
1258,1549,1832
1270,1557,1701
1703,1706
777,1570,1851
1281,1284,1843
791,1776,1777
1299,1303,1714
300,1301,1813
303,1321,1814
1583,1671
51,825,1587
316,1587,1591
315,317,835,1322
317,826,1322,1815
830,1593,1595,1716
46,825,833,1587
831,1323,1324
838,845,1331,1592
56,839,1590,1844
330,841,1329,1716
54,839,847,1844
332,333,1327,1816
329,331,1328,1817
333,844,1334,1816
326,335,837,1330
848,1594,1718
850,1337,1784,1786
5,851,1844
347,856,1334,1720
334,1589,1721,1856
67,347,1335,1720
66,1335,1596,1720
348,1336,1722,1786
365,1336,1337,1786
355,860,861,862
360,364,866,867
368,857,1339,1856
869,871,1342,1601
871,1344,1345,1601
371,873,1345,1723
373,879,1723,1788
874,1346,1347,1787
374,875,877,1856
376,880,881,1605
81,375,1788,1846
80,375,1604,1846
377,381,885,1834
380,882,1349,1818
367,886,1606,1853
385,388,887,1350
387,389,1351,1609
88,1311,1608,1609
87,813,1311,1608
891,892,1353,1610
398,898,1356,1357
404,406,903,1359
410,1352,1613,1726
1360,1361,1362,1728
905,906,907,1364
408,409,1614,1616
411,908,1363,1728
910,1365,1729
412,414,1366,1367
909,1366,1368
1367,1368,1733,1835
417,1369,1615,1733
912,1371,1733,1835
419,421,912,1789
915,1365,1375,1618
429,918,1622,1732
431,435,917,1374
430,914,1379,1624
109,433,918,1377
108,433,1377,1621
436,921,1622,1847
925,927,934,1381
438,931,1312,1736
928,930,1382
945,1376,1625,1626
441,932,1389,1819
449,1386,1388,1736
118,452,1385,1391
117,453,1385,1391
453,1391,1627,1738
944,1387,1394,1821
471,953,1395,1629
472,475,949,1630
460,957,1390,1791
953,954,958,1397
954,958,961,1399
19,959,965,1633
959,1790
971,1392,1635,1740
494,968,982,1634
131,1403,1639,1741
130,499,1403,1639
497,498,1409,1744
955,986,1408,1819
500,985,1411,1820
981,1405,1407,1792
502,987,1406,1792
138,984,1820,1848
137,1820,1848
986,1408,1410,1745
509,987,1411,1414
509,1414,1420,1792
511,992,1822
815,1313,1415,1419
996,1394,1743,1821
520,521,1416,1821
519,997,998,1824
148,522,1417,1746
147,1417,1418,1746
523,1000,1007,1422
526,1002,1005,1006
999,1421,1643,1837
1005,1006,1425,1837
156,532,1649,1823
537,1424,1433,1796
535,1012,1018,1019
153,541,1649
