524,1660,4032
3136,3714,3743
557,3743
1616,3746,4037
1698,3150,3752
569,3152,3756
1708,1710,4164
1721,3761,4040
1752,3770,4049
1770,3197,4228
3078,3212,4048
685,3222,3781
1856,3236
709,3248,3789
1889,3257,3791
1909,4074
1905,3798,3802
1936,3284,3291
2419,3386
2447,3375,3857
2443,2455,4211
1052,3877,4186
2557,3435,3882
2686,3494,4108
3546,3553,3934
3558,4124
2790,3563,3945
2790,3945,3948
3578
1384,3609,4226
3625,3639,3974
1428,1451,3640
3665,3969,4151
2958,3674,4008
3041,4021
37,3103
36,471,3103
479,480,1602,3725
481,1603,1618,3104
1619,1620,1621,1624
492,1604,3109
495,1587,1631,3713
1615,1633,3113
497,1634,3727,3730
498,499,3090,4222
497,501,3729,3730
1636,1639,3726,3732
508,1639,1641,1642
507,509,3115,4030
510,1642,3117,4198
1650,3115,3116,3733
53,3121,4025,4222
52,512,3121,4222
1637,1647,1652,3120
1644,4032
513,3119,3122,4201
515,1646,1649,4033
516,1654,3120,4031
528,1655,1658,4161
1657,1659,3736,4201
532,3124,3125,3737
63,1661,3739,4160
62,526,3739,4160
528,531,1662,4161
1665,1669,1670
534,1663,3131
1671,1672,1683,4035
1674,3128,3134,4034
1681,3132,3740,4036
549,1676,3134,3741
545,550,1678,3742
478,551,3135,3746
553,1676,1682,3741
1685,1686,3137,3139
563,1687,3140,4162
558,559,560,3747
563,1687,3141,4203
79,1689,3145,4202
78,564,3145,4202
1691,3144,3146,3715
1693,1696,3148,3749
566,1692,1697,4163
85,3147,3748,3750
1694,1695,4163,4203
83,86,3750
85,3147,3750,4038
1589,3146,3716,4038
3149,3150,3752,3755
1700,1701,1704,3753
92,1702,3754,3755
573,1703,3753,4200
90,577,3754,3755
574,1707,3153
576,1708,3756,4164
578,583,3155,4038
584,1712,1713,3757
587,3163,3757,3758
1713,1714,1715,3758
101,1719,3168,3760
102,3143,3165,3762
99,602,3168,3760
100,3762,3764
1722,1725,3171,3763
601,604,3169,4165
602,3168,3766,4166
604,606,3174,4165
1725,1733,3173,3763
613,3170,3762,3764
110,3176,4043,4044
109,1732,3176
609,1730,3180,4159
612,1743,3178,4204
616,1731,1734,4044
614,1736,3180,3765
1727,3184,3195,3779
117,3766,4166
116,3188,4048,4166
3724,4024,4046
1741,3182,3183,4046
633,1755,3175,3181
635,3186,3768,4205
629,1751,3198,4204
639,1751,3192,3196
640,1754,3194,4055
1765,3190,3194,4050
639,1761,3192,4205
1765,1770,3197,4050
1776,1792,3201,4205
656,1775,3772,4055
1743,4051,4053,4056
652,661,3202,3774
665,3205,3206,3773
669,1753,3776,4048
667,1800,4056,4168
1802,1804,3213,3772
1798,1806,3209,3215
669,1813,3220,3776
139,670,3777,3778
138,670,3775,3778
674,1803,3780,4221
3208,3213,3218,4058
657,673,3779
1805,1808,1811,3216
682,683,1810,1816
680,1817,3224
1820,3219,4052,4061
1817,1823,3227
1819,1841,3782,3783
697,1820,3211,4061
693,1809,3229,3717
1829,1830,3226
694,1824,1835,4062
1827,1833,3225,3237
689,3231,3236,3239
1834,1844,3232,3245
1834,1845,3234,3788
710,3231,3235,3239
714,1840,3243,3247
726,1853,1859,3255
720,3254,3260,4206
1856,3250,3258,3264
1870,1877,3252,3256
165,1864,4063,4172
1869,1873,3797,4064
163,1881,4063,4172
734,3262,3263,4169
169,732,1883,3794
1878,1886,3254,3795
167,741,1883,3794
1891,3790,3798,4174
1885,3259,3265
735,3797,4064,4067
1887,1895,1899,4172
755,756,1890,4171
1899,1910,3799
777,1913,3264,4224
762,763,3277,4066
1907,3272,3282,3808
775,1903,3269,3284
768,3275,3279,3806
185,3278,3285,3803
772,1934,3803
777,786,3801,4224
1944,1945,3282,3805
181,1934,3285,3803
798,3283,3806
783,1996,3288,3802
786,812,1948,4224
190,3287,3309,4174
189,1960,3309,4174
845,1593,1962,3079
834,1947,3289,3302
810,3295,4208
838,1990,2006,3823
1977,2029,4061,4071
849,2024,3304,3311
844,856,2013,3317
857,2092,3292,4224
859,890,3276,3287
3312,3315,3316
882,2076,2091,3320
2105,3324
883,3322,3837,4157
2123,2142,3324,3332
2185,3323,3832
900,2213,3330,3827
2190,3339,3340,3831
904,2164,4082
914,2186,2236,3833
3326,3335
2165,2239,3849,4081
902,907
